Longitude,Latitude,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice
-88.1311588990379,42.1198848373599,1.6539560850874,43500,119620.0,3994.0,723510.0,755000.0
-88.1330688897017,42.1149083677681,1.62905891403393,40467,80930.0,2671.0,488790.0,440000.0
-88.1328023119873,42.1172274129489,1.6495190056804,38856,77710.0,3307.0,625130.0,520000.0
-88.1372575198669,42.1121621250337,1.65578592692997,40075,110200.0,4507.0,797480.0,760000.0
-88.2019670442454,42.1243442941616,2.64284398749496,466904,350170.0,4388.0,462330.0,820000.0
-88.2343056916891,42.1223343769115,2.78376107939262,194297,145720.0,5376.0,754280.0,805000.0
-88.2365100936003,42.1200160369794,2.73671882645932,208652,156480.0,8664.0,1660620.0,1910000.0
-88.2341146019053,42.1129272460863,2.57376397607799,258244,193680.0,5353.0,909470.0,677500.0
-88.2269902957787,42.101023278358,2.28845892742411,217800,163350.0,5312.0,929010.0,825000.0
-88.1847857606312,42.0972646605773,1.96823203451092,22434,61690.0,4524.0,845990.0,1075000.0
-88.1767097992986,42.1046673468963,2.02955134918608,61899,170220.0,5780.0,1435130.0,1625000.0
-88.1691633490925,42.1087909910729,2.01673228869095,76230,209630.0,4752.0,672880.0,351000.0
-88.1696182816481,42.1040796657833,1.94365819972757,81457,224000.0,3422.0,571300.0,795000.0
-88.1745555205272,42.1024165307611,1.96743085460734,130941,360080.0,6839.0,1040210.0,1075000.0
-88.162905447391,42.0964646604649,1.74632276741055,85378,149410.0,2912.0,416710.0,458000.0
-88.1525641266825,42.0989269976463,1.67496136772482,58562,161040.0,3540.0,575250.0,700000.0
-88.1273273412719,42.1101019735294,1.50764108667145,61594,107780.0,2326.0,383880.0,422000.0
-88.1236469687875,42.105889093805,1.42727650900167,8616,40920.0,1284.0,213170.0,265000.0
-88.1232057497409,42.1035977914286,1.40339517922019,4969,23600.0,1177.0,216100.0,280000.0
-88.1274565532518,42.1062187728481,1.47362781558941,7277,34560.0,2006.0,270000.0,225000.0
-88.1316689998085,42.0992789463647,1.45357261974552,45250,79180.0,4767.0,691220.0,650000.0
-88.1317160127495,42.0976759142322,1.43779184924355,50987,89220.0,3944.0,652920.0,735000.0
-88.1240516069487,42.0958670630096,1.34686205389143,8391,39850.0,1782.0,266470.0,274000.0
-88.1239534793362,42.0966118513301,1.35233896005808,13416,63720.0,1280.0,221650.0,352000.0
-88.1236810372196,42.0971266587286,1.35417381304912,9296,44150.0,1150.0,222870.0,350000.0
-88.1263374632859,42.1003547134838,1.40842674562353,8520,40470.0,2188.0,306970.0,383000.0
-88.1239935699372,42.1006198122448,1.38675019811045,9994,47470.0,2333.0,295190.0,385000.0
-88.1239891065154,42.10108062542,1.39059497678307,11973,56870.0,2394.0,324270.0,300860.0
-88.1280562940051,42.0933942846577,1.36057388105408,10642,50540.0,2251.0,307060.0,253668.0
-88.1271137800738,42.0929789291684,1.34829286559846,9398,44640.0,2013.0,289120.0,385000.0
-88.1261574552947,42.0925350305483,1.33586702470112,9271,44030.0,2135.0,278500.0,325000.0
-88.128129513913,42.0922851352264,1.35052771369197,9750,46310.0,1578.0,236200.0,293000.0
-88.1263961052453,42.089798054465,1.31231127640749,9890,46970.0,1600.0,254640.0,262000.0
-88.1274197830181,42.0920139615268,1.34180234194678,8510,40420.0,2251.0,296630.0,375000.0
-88.1264269965435,42.091611768689,1.32958924045758,8108,38510.0,1150.0,231830.0,340000.0
-88.1241452002407,42.0852436108594,1.25321849314635,3433835,412440.0,6851.0,1813140.0,236400.0
-88.1420493211909,42.0900330433878,1.44853401612263,59503,104130.0,3743.0,612910.0,705000.0
-88.1498228744979,42.0896018528006,1.51298969263822,104588,183020.0,2222.0,361080.0,363000.0
-88.1474410589598,42.0896933921745,1.4926497865433,57761,101080.0,2897.0,463520.0,473000.0
-88.1476182900683,42.0917912152768,1.52363749748947,65993,115480.0,6749.0,940140.0,690000.0
-88.1498683786446,42.0954844946489,1.59755888289944,96045,168070.0,4417.0,687730.0,555000.0
-88.1426929012163,42.0930379218189,1.49315853253165,57543,100700.0,8150.0,1280770.0,788500.0
-88.1445753283945,42.0953589028604,1.54177755890652,57347,100350.0,5226.0,819650.0,975000.0
-88.1464697557946,42.0871175522809,1.44787431832926,70349,123110.0,3474.0,601900.0,650000.0
-88.1504631931235,42.0838263154892,1.43268547582985,90069,247680.0,6018.0,466210.0,960000.0
-88.1780336072127,42.0925883291023,1.82009913524986,81052,141840.0,3018.0,552880.0,590000.0
-88.174484707338,42.0890346729418,1.72270151136901,66490,116350.0,5458.0,813790.0,630000.0
-88.1626843581935,42.0930464082415,1.68781215610027,43961,76930.0,2496.0,457610.0,560000.0
-88.1730045303827,42.0836567454406,1.60882730380872,77624,135840.0,3315.0,478020.0,685000.0
-88.1681146805952,42.0829727450868,1.55841860064282,105589,184780.0,4655.0,644720.0,865000.0
-88.1935666193125,42.0930469291356,1.95155906838079,191969,383930.0,1041.0,373670.0,365000.0
-88.1837600825388,42.0902773891766,1.82188195809619,23782,65400.0,3113.0,585080.0,700000.0
-88.1842681499485,42.0928403160966,1.8769686659628,18662,51320.0,3896.0,848980.0,770000.0
-88.1830769821412,42.0890154581827,1.79133059652724,19009,52270.0,3113.0,652170.0,705000.0
-88.1830642084867,42.0893376971963,1.79768456990483,17861,49110.0,3581.0,709040.0,720000.0
-88.1885182218954,42.0848527873767,1.74471731521752,9167,25200.0,2393.0,583890.0,525000.0
