,Latitude,Longitude,SalePrice,rentZestimate
350,41.888706,-87.641846,399000.0,2741.0
351,41.92193,-87.780174,245000.0,1555.5
352,41.950615,-87.64761,145000.0,1095.0
353,41.91421,-87.63393,179900.0,2849.5
354,41.893406,-87.635864,220000.0,2352.0
355,41.902153,-87.629456,179500.0,2472.0
356,41.97592,-87.68709,375000.0,1421.5
357,41.945564,-87.81734,139900.0,1933.5
358,41.99318,-87.68256,205000.0,916.0
359,41.599506,-87.83833,270000.0,2195.0
360,41.87398,-87.63136,369900.0,3149.5
361,41.896038,-87.65103,235000.0,2536.5
362,41.96147,-87.652626,259995.0,1447.0
363,41.965206,-87.6543,0.0,1571.5
364,41.920216,-87.788055,160000.0,1967.0
365,41.904163,-87.630936,230000.0,2472.0
366,41.878372,-87.835526,209900.0,1779.5
367,41.93844,-87.642624,339999.0,1379.0
368,41.996246,-88.02875,115000.0,1665.5
369,41.906555,-87.634186,114900.0,2472.0
370,42.045677,-88.13489,199999.0,1424.5
371,41.954006,-87.648254,125000.0,1019.5
372,41.953552,-87.73775,130000.0,1237.5
373,41.940144,-87.655525,299000.0,1610.0
374,41.906048,-87.67295,244900.0,1884.5
375,41.96679,-87.70554,89900.0,1849.0
376,41.998505,-87.67858,239900.0,1133.0
377,41.720192,-87.72943,224900.0,900.0
378,41.995632,-87.65738,124900.0,1560.0
379,41.991753,-87.65727,399000.0,892.0
380,41.894806,-87.67258,499000.0,1695.0
381,42.076252,-88.059944,164500.0,1665.5
382,41.87901,-87.64938,319500.0,2764.0
383,41.948288,-87.64521,299000.0,1113.5
384,41.882305,-87.69092,150000.0,3120.0
385,41.853184,-87.62273,239900.0,2021.5
386,42.018208,-87.68281,160000.0,1303.0
387,41.924194,-87.70186,338000.0,1500.0
388,41.941692,-87.675835,369000.0,2505.5
389,42.000095,-87.66664,160000.0,1420.0
390,42.127,-87.8434,379000.0,3499.0
391,41.90926,-87.68878,3695000.0,1713.0
392,41.841843,-87.661156,17000.0,1576.5
393,41.885437,-87.61547,185000.0,5900.0
394,41.894085,-87.621284,350000.0,3457.0
395,41.719753,-87.73629,198000.0,948.5
396,41.81503,-87.62023,199500.0,1819.5
397,41.96409,-87.676704,225000.0,1699.0
398,41.93799,-87.72137,219000.0,874.0
399,41.88126,-87.63233,589900.0,2762.5
400,41.87263,-87.69502,149900.0,1314.0
401,41.874508,-87.63393,317.0,3149.5
402,41.964615,-87.66141,319000.0,2348.0
403,41.93519,-87.642914,295000.0,2083.5
404,41.966877,-87.73894,280000.0,1719.0
405,41.96775,-87.66469,215000.0,1908.0
406,41.939518,-87.66301,319000.0,2842.0
407,41.919437,-87.71719,335000.0,1378.0
408,41.81394,-87.87546,395000.0,1909.0
409,41.508305,-87.7528,248500.0,2199.0
410,41.8766,-87.742424,235000.0,1204.5
411,41.88498,-87.66112,134900.0,2246.5
412,41.95344,-87.72721,120000.0,756.0
413,41.93247,-87.72969,595000.0,1263.0
414,41.88489,-87.624176,375000.0,2485.5
415,41.93523,-87.65357,225000.0,1643.0
