TownCode,LocationFactor,Land_SquareFeet,Land_PriorTaxYearMarketValueEstimate,Building_SquareFeet,Building_PriorTaxYearMarketValueEstimate,SalePrice,Age,WallMaterial,RoofMaterial,Rooms,Bedrooms,FullBaths,Basement,BasementFinish,CentralHeating,CentralAir,AtticType,HalfBaths,Garage1Size,Garage1Material,Garage1Attachment,Garage1Area,Porch
10,1.74158403241699,8122,54820.0,1615.0,298900.0,415000.0,25,1.0,4.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.75423534579685,7893,53270.0,1529.0,282420.0,424000.0,27,1.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,3
10,1.75273097690064,13456,90820.0,2604.0,381570.0,339000.0,26,1.0,4.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3
10,1.75941978002711,5993,40450.0,2604.0,378290.0,480000.0,25,1.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,3
10,1.7926421376266,2894,7950.0,2786.0,442330.0,505000.0,16,3.0,1.0,9.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3
10,1.75247778221661,3689,10140.0,3040.0,437700.0,547000.0,16,3.0,1.0,8.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,2.0,1
10,1.79933105582474,3685,10130.0,2382.0,376950.0,510000.0,15,3.0,1.0,8.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3
10,1.78090057985843,2839,7800.0,2382.0,379280.0,396000.0,13,3.0,1.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3
10,1.78849020008467,2893,7950.0,2684.0,432910.0,590000.0,12,1.0,1.0,7.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3
10,1.77628126765219,2846,7820.0,2786.0,442460.0,520000.0,12,3.0,1.0,9.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3
10,1.79058473121789,2857,7850.0,2789.0,442910.0,545000.0,12,3.0,1.0,8.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3
10,1.69419930732993,40819,112250.0,3630.0,659570.0,700000.0,13,2.0,1.0,10.0,5.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,1.0,3
10,1.70207776628122,47959,131880.0,4046.0,742160.0,845000.0,24,2.0,4.0,10.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,Other,2.0,1.0,2.0,3
10,1.71702978974323,40332,110910.0,3992.0,528940.0,767500.0,34,2.0,1.0,9.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,1
10,1.68845986252438,49832,137030.0,6500.0,1373100.0,1150000.0,15,3.0,4.0,Other,5.0,Other,1.0,1.0,1.0,1.0,3.0,1.0,Other,3.0,1.0,1.0,2
10,1.73955831520129,60753,167070.0,6232.0,907380.0,950000.0,25,2.0,4.0,10.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,1.55744569226888,40510,81020.0,3297.0,49910.0,755000.0,49,3.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3
10,1.62661530359783,72813,200230.0,4057.0,719710.0,850000.0,19,2.0,4.0,10.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,2.0,3
10,1.6539560850874,43500,119620.0,3994.0,723510.0,755000.0,19,3.0,4.0,8.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,1.0,1.0,1.0,3
10,1.62905891403393,40467,80930.0,2671.0,488790.0,440000.0,40,3.0,3.0,9.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,3
10,1.6495190056804,38856,77710.0,3307.0,625130.0,520000.0,32,1.0,1.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,3
10,1.65578592692997,40075,110200.0,4507.0,797480.0,760000.0,21,2.0,1.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,2.64284398749496,466904,350170.0,4388.0,462330.0,820000.0,71,2.0,1.0,10.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,Other,1.0,1.0,2.0,3
10,2.78376107939262,194297,145720.0,5376.0,754280.0,805000.0,31,1.0,1.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3
10,2.73671882645932,208652,156480.0,8664.0,1660620.0,1910000.0,12,2.0,1.0,Other,6.0,Other,1.0,1.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,1.0,3
10,2.57376397607799,258244,193680.0,5353.0,909470.0,677500.0,36,3.0,4.0,8.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,Other,2.0,1.0,1.0,2
10,2.28845892742411,217800,163350.0,5312.0,929010.0,825000.0,16,1.0,1.0,8.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,1.0,1.0,1.0,3
10,1.96823203451092,22434,61690.0,4524.0,845990.0,1075000.0,7,2.0,1.0,10.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,1.0,3
10,2.02955134918608,61899,170220.0,5780.0,1435130.0,1625000.0,16,2.0,4.0,10.0,4.0,Other,1.0,1.0,1.0,1.0,2.0,1.0,Other,2.0,1.0,1.0,3
10,2.01673228869095,76230,209630.0,4752.0,672880.0,351000.0,31,3.0,1.0,9.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1
10,1.94365819972757,81457,224000.0,3422.0,571300.0,795000.0,27,2.0,1.0,8.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,2.0,3
10,1.96743085460734,130941,360080.0,6839.0,1040210.0,1075000.0,24,2.0,4.0,10.0,5.0,Other,1.0,1.0,1.0,1.0,3.0,2.0,Other,2.0,1.0,1.0,3
10,1.74632276741055,85378,149410.0,2912.0,416710.0,458000.0,46,2.0,1.0,8.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,2.0,3
10,1.67496136772482,58562,161040.0,3540.0,575250.0,700000.0,34,2.0,4.0,8.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,Other,2.0,1.0,2.0,3
10,1.50764108667145,61594,107780.0,2326.0,383880.0,422000.0,34,3.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,3
