,Longitude,Latitude,SalePrice,total_tax,annual_insurance,annual_maintenance,LocationFactor
23114,-87.5938098486106,41.7469503011898,80000.0,2205.9699444015337,427.4151136274066,2000.3159444015334,0.315944401533472
23115,-87.5938074224606,41.7468474739535,280000.0,1981.9949787496264,1495.9528976959232,7000.314978749627,0.314978749626418
23116,-87.5932887400402,41.7465586289009,67125.0,2443.60315365072,358.62799377799587,1678.4381536507199,0.31315365071991
23117,-87.5926040764247,41.7473284665169,98500.0,1836.273832297608,526.2548586537443,2462.8218322976077,0.32183229760782
23118,-87.59259677792,41.7470197831893,70000.0,2322.168869034159,373.9882244239808,1750.318869034159,0.318869034158924
23119,-87.5920842677231,41.7470122084992,215000.0,1814.4678500435878,1148.6781178736553,5375.319850043588,0.319850043587852
23120,-87.5901668293508,41.7463633359747,169000.0,1667.909834036579,902.9144275378965,4225.317834036579,0.317834036579034
23121,-87.5890520968496,41.7474487684705,127480.0,1759.5557109778,681.0859835652724,3187.3317109778,0.331710977799889
23122,-87.5879072384968,41.7473160401007,109500.0,1686.4177307692082,585.0244367775127,2737.833730769208,0.333730769208195
23123,-87.5878792412697,41.7461243376328,253000.0,1656.735534980518,1351.7002968466734,6325.321534980518,0.321534980517988
23124,-87.5874297576386,41.7474098540745,246000.0,1844.4302024173398,1314.3014744042753,6150.336202417339,0.336202417339725
23125,-87.5949816148466,41.7457564912968,350000.0,2868.633092154105,1869.9411221199039,8750.303092154105,0.303092154104956
23126,-87.5937670304292,41.7450951110555,175000.0,1849.222668945308,934.9705610599519,4375.298668945308,0.298668945308115
23127,-87.5932527129943,41.7450194725503,187500.0,1777.462737291968,1001.7541725642342,4687.798737291968,0.298737291968118
23128,-87.5920454352109,41.7454468968744,235000.0,2018.8308457081962,1255.5318962805068,5875.304845708196,0.304845708196114
23129,-87.5908134353613,41.7448110440397,125000.0,1818.0371624378383,667.8361150428228,3125.3011624378387,0.301162437838522
23130,-87.590129101652,41.7448155095569,82000.0,1724.4746704752388,438.1004914680918,2050.3026704752388,0.302670475238715
23131,-87.6041419903354,41.7431835903831,73000.0,1696.714822160475,390.0162911850085,1825.280822160475,0.280822160474952
23132,-87.6018890758378,41.74259197738,40100.0,1355.1583570663727,214.24182570573757,1002.7743570663728,0.274357066372721
23133,-87.6010032437198,41.7429184768786,315000.0,2812.1644072155023,1682.9470099079135,7875.276407215502,0.276407215502358
23134,-87.6016524797199,41.7410393208734,105000.0,1979.458212725452,560.9823366359711,2625.262212725452,0.262212725452172
23135,-87.6001200077508,41.7415488126088,135000.0,2768.407137336618,721.2630042462487,3375.265137336618,0.265137336618106
23136,-87.6010633004641,41.7410599368167,64000.0,2114.835888207837,341.9320909019253,1600.261888207837,0.261888207836938
23137,-87.6015991979346,41.7391377547006,100000.0,1728.9737587594234,534.2688920342582,2500.2477587594235,0.247758759423517
23138,-87.6020655975585,41.7374604220195,75000.0,1891.9399959626803,400.70166902569366,1875.2359959626804,0.235995962680323
23139,-87.5959553578901,41.738499956621,154000.0,1949.2134534368367,822.7740937327577,3850.239453436837,0.239453436836828
23140,-87.5960954997062,41.7435170719769,115000.0,2609.7239714371954,614.409225839397,2875.2819714371954,0.281971437195172
23141,-87.5900662237006,41.7438793244228,209000.0,1709.285705248085,1116.6219843515998,5225.293705248085,0.29370524808493
23142,-87.5895489011552,41.7427962980502,70000.0,1876.5323360049724,373.9882244239808,1750.2843360049724,0.284336004972406
23143,-87.5895292017545,41.7419510220139,200000.0,1974.6422911263294,1068.5377840685164,5000.276291126329,0.276291126329314
23144,-87.5883212876153,41.7422128557687,66500.0,1857.209352615486,355.28881320278174,1662.7813526154862,0.281352615486159
23145,-87.5868879526678,41.7408003034813,50000.0,1702.0869799031107,267.1344460171291,1250.2709799031106,0.27097990311067
23146,-87.5874066692566,41.7393580118134,270000.0,1800.189993897757,1442.5260084924973,6750.2559938977565,0.255993897756973
23147,-87.5894457862195,41.7383673091069,50000.0,1538.9431635209799,267.1344460171291,1250.2431635209798,0.243163520979745
23148,-87.5894361768438,41.7379557107559,255000.0,2275.0314655606903,1362.3856746873585,6375.23946556069,0.239465560690526
23149,-87.5894500264085,41.7385466886656,165000.0,1983.5807821420638,881.5436718565261,4125.244782142064,0.244782142063827
23150,-87.5887407428594,41.7380475324956,79000.0,1959.9793642026707,422.072424707064,1975.2413642026706,0.241364202670704
23151,-87.5887313087563,41.7376359603246,217500.0,1929.6156500794455,1162.0348401745116,5437.737650079445,0.237650079445435
